Organism	Genotype	Biomaterial Type	Sample Name	Trim/raw	Num_reads_(M)	Avg_readlen_(bp)	Est_genome_size_(Mbp)	Advised_kmer
Globodera rostochiensis	Nfld isolate	Genomic	S001385 	raw	66.682944	101	100	83
Globodera rostochiensis	Nfld isolate	Genomic	S001385 	trim	66.682944	94	100	77
Pectobacterium carotovorum 	subsp. brasiliensis, isolate 1009	Genomic	S001386 	raw	14.617664			
Pectobacterium carotovorum 	subsp. brasiliensis, isolate 1009	Genomic	S001386 	trim	14.617664			
Tilletia caries	DAOM 238032	Genomic	S001387 	raw	30.406426	101	20	93
Tilletia caries	DAOM 238032	Genomic	S001387 	trim	30.406426	92	20	85
Globodera rostochiensis 	strain Ro19, pathotype Ro1	Genomic	S001388 	raw	157.631698	101	100	95
Globodera rostochiensis 	strain Ro19, pathotype Ro1	Genomic	S001388 	trim	157.631698	92	100	85
Globodera rostochiensis 	Isolate Mar149,  pathotype Ro1	Genomic	S001389 	raw	89.222926	101	100	87
Globodera rostochiensis 	Isolate Mar149,  pathotype Ro1	Genomic	S001389 	trim	89.222926	95	100	81
Globodera rostochiensis	SCRIR04, pathotype Ro4	Genomic	S00138A 	raw	66.03751	101	100	83
Globodera rostochiensis	SCRIR04, pathotype Ro4	Genomic	S00138A 	trim	66.03751	92	100	73
Ralstonia solanacearum - resequencing	NCPPB 909 race 3 biovar 2	Genomic	S00138B 	raw	49.492302	101	5.8	101
Ralstonia solanacearum - resequencing	NCPPB 909 race 3 biovar 2	Genomic	S00138B 	trim	49.492302	92	5.8	91
Tilletia indica	DAOM 236416	Genomic	S00138C 	raw	74.002222	101	20	99
Tilletia indica	DAOM 236416	Genomic	S00138C 	trim	74.002222	98	20	95
Globodera rostochiensis	SCRIR05, pathotype Ro5	Genomic	S00138D 	raw	81.408544	101	100	87
Globodera rostochiensis	SCRIR05, pathotype Ro5	Genomic	S00138D 	trim	81.408544	92	100	77
Arcobacter cibarius 	strain LMG 21996	Genomic	S00138E 	raw	30.30361			
Arcobacter cibarius 	strain LMG 21996	Genomic	S00138E 	trim	30.30361			
Pectobacterium carotovorum 	subsp. brasiliensis, isolate 1001	Genomic	S00138F 	raw	20.9931			
Pectobacterium carotovorum 	subsp. brasiliensis, isolate 1001	Genomic	S00138F 	trim	20.9931			
Tilletia indica	DAOM 236416	Genomic	S001416 	raw	239.199956	51	20	51
Tilletia indica	DAOM 236416	Genomic	S001416 	trim	239.199956	44	20	43
Tilletia caries	DAOM 238032	Genomic	S001417 	raw	249.510862	51	20	51
Tilletia caries	DAOM 238032	Genomic	S001417 	trim	249.510862	43	20	43
Tilletia walkeri	DAOM 236422	Genomic	S001418 	raw	254.177118	51	20	51
Tilletia walkeri	DAOM 236422	Genomic	S001418 	trim	254.177118	45.5	20	45
Tilletia controversa	DAOM 236426	Genomic	S001419 	raw	188.907452	51	20	51
Tilletia controversa	DAOM 236426	Genomic	S001419 	trim	188.907452	43	20	43
Globodera rostochiensis 	QC strain, pathotype Ro1	Genomic	S00141B 	raw	217.339772	51	100	47
Globodera rostochiensis 	QC strain, pathotype Ro1	Genomic	S00141B 	trim	217.339772	45	100	41
Ditylenchus destructor		Genomic	S00141C 					
Ditylenchus destructor		Genomic	S00141C 					
Pantoea ananatis 	strain LMG 2665	Genomic	S0016FD 					
Pantoea ananatis 	strain LMG 2665	Genomic	S0016FD 					
Globodera rostochiensis	QC strain, pathotype Ro1	Genomic	S0016FE 					
Globodera rostochiensis	QC strain, pathotype Ro1	Genomic	S0016FE 					
Penicillium nordicum	strain DAOM 185683	Genomic	S0016FF 					
Penicillium nordicum	strain DAOM 185683	Genomic	S0016FF 					
Ditylenchus dipsaci		Genomic	S001700 					
Ditylenchus dipsaci		Genomic	S001700 					
Penicillium verrucosum 	strain DAOM 213195	Genomic	S001701 					
Penicillium verrucosum 	strain DAOM 213195	Genomic	S001701 					
Penicillium verrucosum 	strain DAOM 214801	Genomic	S001702 					
Penicillium verrucosum 	strain DAOM 214801	Genomic	S001702 					
Globodera rostochiensis	 QC strain, pathotype Ro1	Genomic	S001703 					
Globodera rostochiensis	 QC strain, pathotype Ro1	Genomic	S001703 					
Ditylenchus dipsaci		Genomic	S001705 					
Ditylenchus dipsaci		Genomic	S001705 					
Synchytrium endobioticum 	2012 PEI outbreak, unknown pathotype	Genomic	S001707					
Synchytrium endobioticum 	2012 PEI outbreak, unknown pathotype	Genomic	S001707					
Tilletia indica	DAOM 236416	Genomic	S001710 					
Tilletia indica	DAOM 236416	Genomic	S001710 					
Tilletia caries	DAOM 238032	Genomic	S001711 					
Tilletia caries	DAOM 238032	Genomic	S001711 					
Tilletia controversa	DAOM 236426	Genomic	S001712 					
Tilletia controversa	DAOM 236426	Genomic	S001712 					
Penicillium verrucosum	KAS 4260	Genomic	S001714 					
Penicillium verrucosum	KAS 4260	Genomic	S001714 					
Penicillium verrucosum 	KAS 4260	Genomic	S001715 					
Penicillium verrucosum 	KAS 4260	Genomic	S001715 					
Synchytrium endobioticum	mixed strains from Newfoundland	Genomic	S00171C 					
Synchytrium endobioticum	mixed strains from Newfoundland	Genomic	S00171C 					
Ditylenchus destructor 		Genomic	S00171D 					
Ditylenchus destructor 		Genomic	S00171D 					
