Sample	Trim_or_Raw	Direction	Filename	Read_Length	Num_Reads
S001079	trimdata	R1	../../processing_test/S_scabies/DNA/Ss_S001079/data//S001079_ATCACG_L007_trim_8-0-0_R1.fq	93	18108483
S001079	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S001079_ATCACG_L007_R1.fq	101	18108483
S001079	trimdata	R2	../../processing_test/S_scabies/DNA/Ss_S001079/data//S001079_ATCACG_L007_trim_9-0-0_R2.fq	92	18108483
S001079	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S001079_ATCACG_L007_R2.fq	101	18108483
S001419	trimdata	R1	../../processing_test/T_controversa/DNA/Tc_S001419/data//S001419_NoIndex_L002_trim_8-0-0_R1.fq	43	94453726
S001419	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D20DTACXX/S001419_NoIndex_L002_R1.fq	51	94453726
S001419	trimdata	R2	../../processing_test/T_controversa/DNA/Tc_S001419/data//S001419_NoIndex_L002_trim_8-0-0_R2.fq	43	94453726
S001419	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D20DTACXX/S001419_NoIndex_L002_R2.fq	51	94453726
HI.0735.004.Index_12	trimdata	R1	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_12/data//HI.0735.004.Index_12.Lis_infecte_trim_10-0-0_R1.fq	90	22399627
HI.0735.004.Index_12	rawdata	R1	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_12.Lis_infecte_R1.fq	100	22399627
HI.0735.004.Index_12	trimdata	R2	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_12/data//HI.0735.004.Index_12.Lis_infecte_trim_10-0-0_R2.fq	90	22399627
HI.0735.004.Index_12	rawdata	R2	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_12.Lis_infecte_R2.fq	100	22399627
S000D00	trimdata	R1	../../processing_test/P_stewartii/DNA/Ps_S000D00/data//S000D00_CGTACG_L001_trim_5-0-0_R1.fq	96	5884350
S000D00	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D00_CGTACG_L001_R1.fq	101	5884350
S000D00	trimdata	R2	../../processing_test/P_stewartii/DNA/Ps_S000D00/data//S000D00_CGTACG_L001_trim_4-0-0_R2.fq	97	5884350
S000D00	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D00_CGTACG_L001_R2.fq	101	5884350
S00106E	trimdata	R1	../../processing_test/P_verrucosum/DNA/Pv_S00106E/data//S00106E_TTAGGC_L002_trim_5-0-0_R1.fq	96	31752989
S00106E	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S00106E_TTAGGC_L002_R1.fq	101	31752989
S00106E	trimdata	R2	../../processing_test/P_verrucosum/DNA/Pv_S00106E/data//S00106E_TTAGGC_L002_trim_4-0-0_R2.fq	97	31752989
S00106E	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S00106E_TTAGGC_L002_R2.fq	101	31752989
S000D06	trimdata	R1	../../processing_test/P_verrucosum/RNA/Pv_S000D06/data//S000D06_CTTGTA_L002_trim_10-0-0_R1.fq	91	23573515
S000D06	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D06_CTTGTA_L002_R1.fq	101	23573515
S000D06	trimdata	R2	../../processing_test/P_verrucosum/RNA/Pv_S000D06/data//S000D06_CTTGTA_L002_trim_10-0-0_R2.fq	91	23573515
S000D06	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D06_CTTGTA_L002_R2.fq	101	23573515
S001078	trimdata	R1	../../processing_test/P_infestans/RNA/Pi_S001078/data//S001078_TGACCA_L007_trim_10-0-0_R1.fq	91	34349781
S001078	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S001078_TGACCA_L007_R1.fq	101	34349781
S001078	trimdata	R2	../../processing_test/P_infestans/RNA/Pi_S001078/data//S001078_TGACCA_L007_trim_10-0-0_R2.fq	91	34349781
S001078	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S001078_TGACCA_L007_R2.fq	101	34349781
S000D14	trimdata	R1	../../processing_test/P_verrucosum/RNA/Pv_S000D14/data//S000D14_CGATGT_L002_trim_10-0-0_R1.fq	91	15817717
S000D14	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D14_CGATGT_L002_R1.fq	101	15817717
S000D14	trimdata	R2	../../processing_test/P_verrucosum/RNA/Pv_S000D14/data//S000D14_CGATGT_L002_trim_10-0-0_R2.fq	91	15817717
S000D14	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D14_CGATGT_L002_R2.fq	101	15817717
S001389	trimdata	R1	../../processing_test/G_rostochiensis/DNA/Gr_S001389/data//S001389_CTTGTA_L002_trim_6-0-0_R1.fq	95	44611463
S001389	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001389_CTTGTA_L002_R1.fq	101	44611463
S001389	trimdata	R2	../../processing_test/G_rostochiensis/DNA/Gr_S001389/data//S001389_CTTGTA_L002_trim_6-0-0_R2.fq	95	44611463
S001389	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001389_CTTGTA_L002_R2.fq	101	44611463
S001418	trimdata	R1	../../processing_test/T_walkeri/DNA/Tw_S001418/data//S001418_NoIndex_L005_trim_5-0-0_R1.fq	46	127088559
S001418	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D20DTACXX/S001418_NoIndex_L005_R1.fq	51	127088559
S001418	trimdata	R2	../../processing_test/T_walkeri/DNA/Tw_S001418/data//S001418_NoIndex_L005_trim_6-0-0_R2.fq	45	127088559
S001418	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D20DTACXX/S001418_NoIndex_L005_R2.fq	51	127088559
A066581	trimdata	R1	../../processing_test/G_rostochiensis/DNA/Gr_A066581/data//A066581_C01J0ABXX_1_trim_8-0-0_R1.fq	92	32543669
A066581	rawdata	R1	/isilon/biodiversity/data/raw/illumina/rott/A06658/pipeline_copy/A066581_C01J0ABXX_1_R1.fq	100	32539791
A066581	trimdata	R2	../../processing_test/G_rostochiensis/DNA/Gr_A066581/data//A066581_C01J0ABXX_1_trim_8-0-0_R2.fq	92	32546100
A066581	rawdata	R2	/isilon/biodiversity/data/raw/illumina/rott/A06658/pipeline_copy/A066581_C01J0ABXX_1_R2.fq	100	32544112
S000D15	trimdata	R1	../../processing_test/P_verrucosum/RNA/Pv_S000D15/data//S000D15_ACTTGA_L002_trim_10-0-0_R1.fq	91	23747050
S000D15	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D15_ACTTGA_L002_R1.fq	101	23747050
S000D15	trimdata	R2	../../processing_test/P_verrucosum/RNA/Pv_S000D15/data//S000D15_ACTTGA_L002_trim_10-0-0_R2.fq	91	23747050
S000D15	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D15_ACTTGA_L002_R2.fq	101	23747050
S000D08	trimdata	R1	../../processing_test/P_verrucosum/RNA/Pv_S000D08/data//S000D08_ATCACG_L002_trim_10-0-0_R1.fq	91	21303878
S000D08	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D08_ATCACG_L002_R1.fq	101	21303878
S000D08	trimdata	R2	../../processing_test/P_verrucosum/RNA/Pv_S000D08/data//S000D08_ATCACG_L002_trim_10-0-0_R2.fq	91	21303878
S000D08	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D08_ATCACG_L002_R2.fq	101	21303878
S001386	trimdata	R1	../../processing_test/P_carotovorum/DNA/Pcb_S001386/data//S001386_GATCAG_L001_trim_9-0-0_R1.fq	92	7308832
S001386	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001386_GATCAG_L001_R1.fq	101	7308832
S001386	trimdata	R2	../../processing_test/P_carotovorum/DNA/Pcb_S001386/data//S001386_GATCAG_L001_trim_9-0-0_R2.fq	92	7308832
S001386	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001386_GATCAG_L001_R2.fq	101	7308832
S000D0F	trimdata	R1	../../processing_test/P_verrucosum/RNA/Pv_S000D0F/data//S000D0F_TTAGGC_L003_trim_10-0-0_R1.fq	91	10856960
S000D0F	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D0F_TTAGGC_L003_R1.fq	101	10856960
S000D0F	trimdata	R2	../../processing_test/P_verrucosum/RNA/Pv_S000D0F/data//S000D0F_TTAGGC_L003_trim_10-0-0_R2.fq	91	10856960
S000D0F	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D0F_TTAGGC_L003_R2.fq	101	10856960
S001388	trimdata	R1	../../processing_test/G_rostochiensis/DNA/Gr_S001388/data//S001388_TAGCTT_L001_trim_9-0-0_R1.fq	92	78815849
S001388	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001388_TAGCTT_L001_R1.fq	101	78815849
S001388	trimdata	R2	../../processing_test/G_rostochiensis/DNA/Gr_S001388/data//S001388_TAGCTT_L001_trim_9-0-0_R2.fq	92	78815849
S001388	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001388_TAGCTT_L001_R2.fq	101	78815849
S001385	trimdata	R1	../../processing_test/G_rostochiensis/DNA/Gr_S001385/data//S001385_GTGAAA_L002_trim_7-0-0_R1.fq	94	33341472
S001385	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001385_GTGAAA_L002_R1.fq	101	33341472
S001385	trimdata	R2	../../processing_test/G_rostochiensis/DNA/Gr_S001385/data//S001385_GTGAAA_L002_trim_7-0-0_R2.fq	94	33341472
S001385	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001385_GTGAAA_L002_R2.fq	101	33341472
HI.0735.004.Index_3	trimdata	R1	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_3/data//HI.0735.004.Index_3.kyste_Gros_0h_trim_71-0-0_R1.fq	29	17012478
HI.0735.004.Index_3	rawdata	R1	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_3.kyste_Gros_0h_R1.fq	100	17012478
HI.0735.004.Index_3	trimdata	R2	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_3/data//HI.0735.004.Index_3.kyste_Gros_0h_trim_71-0-0_R2.fq	29	17012478
HI.0735.004.Index_3	rawdata	R2	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_3.kyste_Gros_0h_R2.fq	100	17012478
S000D0D	trimdata	R1	../../processing_test/P_verrucosum/RNA/Pv_S000D0D/data//S000D0D_ACTTGA_L003_trim_10-0-0_R1.fq	91	25538222
S000D0D	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D0D_ACTTGA_L003_R1.fq	101	25538222
S000D0D	trimdata	R2	../../processing_test/P_verrucosum/RNA/Pv_S000D0D/data//S000D0D_ACTTGA_L003_trim_10-0-0_R2.fq	91	25538222
S000D0D	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D0D_ACTTGA_L003_R2.fq	101	25538222
S00106F	trimdata	R1	../../processing_test/D_destructor/DNA/Dd_S00106F/data//S00106F_GTGAAA_L002_trim_5-0-0_R1.fq	96	52831511
S00106F	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S00106F_GTGAAA_L002_R1.fq	101	52831511
S00106F	trimdata	R2	../../processing_test/D_destructor/DNA/Dd_S00106F/data//S00106F_GTGAAA_L002_trim_6-0-0_R2.fq	95	52831511
S00106F	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S00106F_GTGAAA_L002_R2.fq	101	52831511
HI.0735.004.Index_2	trimdata	R1	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_2/data//HI.0735.004.Index_2.kyste_Gros_sec_trim_61-0-0_R1.fq	39	10786303
HI.0735.004.Index_2	rawdata	R1	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_2.kyste_Gros_sec_R1.fq	100	10786303
HI.0735.004.Index_2	trimdata	R2	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_2/data//HI.0735.004.Index_2.kyste_Gros_sec_trim_61-0-0_R2.fq	39	10786303
HI.0735.004.Index_2	rawdata	R2	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_2.kyste_Gros_sec_R2.fq	100	10786303
S000D1A	trimdata	R1	../../processing_test/P_verrucosum/RNA/Pv_S000D1A/data//S000D1A_ACAGTG_L003_trim_10-0-0_R1.fq	91	18147794
S000D1A	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D1A_ACAGTG_L003_R1.fq	101	18147794
S000D1A	trimdata	R2	../../processing_test/P_verrucosum/RNA/Pv_S000D1A/data//S000D1A_ACAGTG_L003_trim_10-0-0_R2.fq	91	18147794
S000D1A	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D1A_ACAGTG_L003_R2.fq	101	18147794
S000D17	trimdata	R1	../../processing_test/P_wasabiae/RNA/Pw_S000D17/data//S000D17_TTAGGC_L001_trim_66-0-0_R1.fq	35	2813795
S000D17	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D17_TTAGGC_L001_R1.fq	101	2813795
S000D17	trimdata	R2	../../processing_test/P_wasabiae/RNA/Pw_S000D17/data//S000D17_TTAGGC_L001_trim_66-0-0_R2.fq	35	2813795
S000D17	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D17_TTAGGC_L001_R2.fq	101	2813795
S00138F	trimdata	R1	../../processing_test/P_carotovorum/DNA/Pcb_S00138F/data//S00138F_TTAGGC_L001_trim_9-0-0_R1.fq	92	10496550
S00138F	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S00138F_TTAGGC_L001_R1.fq	101	10496550
S00138F	trimdata	R2	../../processing_test/P_carotovorum/DNA/Pcb_S00138F/data//S00138F_TTAGGC_L001_trim_9-0-0_R2.fq	92	10496550
S00138F	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S00138F_TTAGGC_L001_R2.fq	101	10496550
S000D0C	trimdata	R1	../../processing_test/P_verrucosum/RNA/Pv_S000D0C/data//S000D0C_GATCAG_L002_trim_10-0-0_R1.fq	91	16712740
S000D0C	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D0C_GATCAG_L002_R1.fq	101	16712740
S000D0C	trimdata	R2	../../processing_test/P_verrucosum/RNA/Pv_S000D0C/data//S000D0C_GATCAG_L002_trim_10-0-0_R2.fq	91	16712740
S000D0C	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D0C_GATCAG_L002_R2.fq	101	16712740
S001069	trimdata	R1	../../processing_test/P_verrucosum/DNA/Pv_S001069/data//S001069_GCCAAT_L002_trim_7-0-0_R1.fq	94	16085178
S001069	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S001069_GCCAAT_L002_R1.fq	101	16085178
S001069	trimdata	R2	../../processing_test/P_verrucosum/DNA/Pv_S001069/data//S001069_GCCAAT_L002_trim_7-0-0_R2.fq	94	16085178
S001069	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S001069_GCCAAT_L002_R2.fq	101	16085178
S001417	trimdata	R1	../../processing_test/T_caries/DNA/Tca_S001417/data//S001417_NoIndex_L001_trim_8-0-0_R1.fq	43	124755431
S001417	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D20DTACXX/S001417_NoIndex_L001_R1.fq	51	124755431
S001417	trimdata	R2	../../processing_test/T_caries/DNA/Tca_S001417/data//S001417_NoIndex_L001_trim_8-0-0_R2.fq	43	124755431
S001417	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D20DTACXX/S001417_NoIndex_L001_R2.fq	51	124755431
S00138E	trimdata	R1	../../processing_test/A_cibarius/DNA/Ac_S00138E/data//S00138E_CGATGT_L001_trim_9-0-0_R1.fq	92	15151805
S00138E	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S00138E_CGATGT_L001_R1.fq	101	15151805
S00138E	trimdata	R2	../../processing_test/A_cibarius/DNA/Ac_S00138E/data//S00138E_CGATGT_L001_trim_9-0-0_R2.fq	92	15151805
S00138E	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S00138E_CGATGT_L001_R2.fq	101	15151805
HI.0735.004.Index_11	trimdata	R1	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_11/data//HI.0735.004.Index_11.Lis_sain_Brad_ajoute_trim_10-0-0_R1.fq	90	45761607
HI.0735.004.Index_11	rawdata	R1	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_11.Lis_sain_Brad_ajoute_R1.fq	100	45761607
HI.0735.004.Index_11	trimdata	R2	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_11/data//HI.0735.004.Index_11.Lis_sain_Brad_ajoute_trim_10-0-0_R2.fq	90	45761607
